TITLE,PRICE,STOCK_AVAILABILITY,URL
A Light in the ...,£51.77,In stock,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,£53.74,In stock,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,£50.10,In stock,http://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,£47.82,In stock,http://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History ...,£54.23,In stock,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,£22.65,In stock,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets ...,£33.34,In stock,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
The Coming Woman: A ...,£17.93,In stock,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the ...,£22.60,In stock,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,£52.15,In stock,http://books.toscrape.com/catalogue/the-black-maria_991/index.html
Starving Hearts (Triangular Trade ...,£13.99,In stock,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,£20.66,In stock,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,£17.46,In stock,http://books.toscrape.com/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little ...,£52.29,In stock,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and ...,£35.02,In stock,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
Our Band Could Be ...,£57.25,In stock,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,£23.88,In stock,http://books.toscrape.com/catalogue/olio_984/index.html
Mesaerion: The Best Science ...,£37.59,In stock,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,£51.33,In stock,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,£45.17,In stock,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,£12.84,In stock,http://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,£37.32,In stock,http://books.toscrape.com/catalogue/how-music-works_979/index.html
Foolproof Preserving: A Guide ...,£30.52,In stock,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights ...,£25.27,In stock,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,£34.53,In stock,http://books.toscrape.com/catalogue/black-dust_976/index.html
Birdsong: A Story in ...,£54.64,In stock,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: ...,£22.50,In stock,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful ...,£53.13,In stock,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around ...,£40.30,In stock,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,£44.18,In stock,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Four Agreements: A ...,£17.66,In stock,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: ...,£31.05,In stock,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,£23.82,In stock,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
The Bear and the ...,£36.89,In stock,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,£15.94,In stock,http://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,£33.29,In stock,http://books.toscrape.com/catalogue/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up ...,£18.02,In stock,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark ...",£19.63,In stock,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Behind Closed Doors,£52.22,In stock,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
You can't bury them ...,£33.63,In stock,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: ...,£57.31,In stock,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,£26.41,In stock,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Private Paris (Private #10),£47.61,In stock,http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
#HigherSelfie: Wake Up Your ...,£23.11,In stock,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Without Borders (Wanderlove #1),£45.07,In stock,http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
When We Collided,£31.77,In stock,http://books.toscrape.com/catalogue/when-we-collided_955/index.html
"We Love You, Charlie ...",£50.27,In stock,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Untitled Collection: Sabbath Poems ...,£14.27,In stock,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
Unseen City: The Majesty ...,£44.18,In stock,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Unicorn Tracks,£18.78,In stock,http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
Unbound: How Eight Technologies ...,£25.52,In stock,http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Tsubasa: WoRLD CHRoNiCLE 2 ...,£16.28,In stock,http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
Throwing Rocks at the ...,£31.12,In stock,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
This One Summer,£19.49,In stock,http://books.toscrape.com/catalogue/this-one-summer_947/index.html
Thirst,£17.27,In stock,http://books.toscrape.com/catalogue/thirst_946/index.html
The Torch Is Passed: ...,£19.09,In stock,http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
The Secret of Dreadwillow ...,£56.13,In stock,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
The Pioneer Woman Cooks: ...,£56.41,In stock,http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
The Past Never Ends,£56.50,In stock,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
The Natural History of ...,£45.22,In stock,http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
The Nameless City (The ...,£38.16,In stock,http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Murder That Never ...,£54.11,In stock,http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
The Most Perfect Thing: ...,£42.96,In stock,http://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
The Mindfulness and Acceptance ...,£23.89,In stock,http://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
The Life-Changing Magic of ...,£16.77,In stock,http://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
The Inefficiency Assassin: Time ...,£20.59,In stock,http://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
The Gutsy Girl: Escapades ...,£37.13,In stock,http://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
The Electric Pencil: Drawings ...,£56.06,In stock,http://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
The Death of Humanity: ...,£58.11,In stock,http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
The Bulletproof Diet: Lose ...,£49.05,In stock,http://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
The Art Forger,£40.76,In stock,http://books.toscrape.com/catalogue/the-art-forger_930/index.html
The Age of Genius: ...,£19.73,In stock,http://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
The Activist's Tao Te ...,£32.24,In stock,http://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
Spark Joy: An Illustrated ...,£41.83,In stock,http://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
Soul Reader,£39.58,In stock,http://books.toscrape.com/catalogue/soul-reader_926/index.html
Security,£39.25,In stock,http://books.toscrape.com/catalogue/security_925/index.html
"Saga, Volume 6 (Saga ...",£25.02,In stock,http://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
